brand_name_rx_count,gender,generic_rx_count,region,settlement_type,specialty,years_practicing
384,M,2287,South,non-urban,Nephrology,7
316,M,1035,West,non-urban,Nephrology,6
374,M,2452,Northeast,urban,Gastroenterology,5
683,M,3462,Midwest,urban,Psychiatry,7
143,M,2300,Northeast,urban,Psychiatry,7
451,F,3112,West,non-urban,Psych/Mental Health,1
260,F,1730,South,non-urban,Family,6
437,M,7109,Midwest,urban,Psychiatry,7
245,M,1747,Northeast,non-urban,Nephrology,7
5175,F,5310,South,non-urban,Infectious Disease,7
1697,M,4445,South,non-urban,Psychiatry,6
1539,M,12701,South,urban,Psychiatry,7
702,M,6007,Midwest,urban,Medical,6
698,M,1069,Northeast,non-urban,Cardiovascular Disease,8
751,M,1584,South,urban,Medical,2
1199,M,5557,South,urban,Psychiatry,8
951,M,4425,South,non-urban,Cardiovascular Disease,8
685,M,3144,South,non-urban,Neurology,7
2260,M,6169,Northeast,non-urban,Pulmonary Disease,7
749,F,4061,Midwest,non-urban,Psychiatry,7
822,M,998,South,non-urban,Infectious Disease,7
337,F,1804,South,urban,Family,7
324,M,3086,West,urban,Pulmonary Disease,7
685,M,2754,Northeast,non-urban,Pain Medicine,8
702,M,4467,Midwest,urban,Cardiovascular Disease,7
360,F,1619,Northeast,non-urban,Family,7
289,M,2339,West,non-urban,Medical,7
161,F,1625,West,non-urban,Family,7
2163,M,15254,South,urban,Geriatric Medicine,8
2816,M,12079,Northeast,non-urban,Pulmonary Disease,7
565,M,5037,South,non-urban,Psychiatry,8
326,F,2069,Northeast,non-urban,Family,4
445,M,1905,Northeast,non-urban,Family,7
1104,F,4323,Midwest,non-urban,Neurology,7
850,M,3069,West,urban,Psych/Mental Health,7
1154,M,5542,Midwest,non-urban,Cardiovascular Disease,8
1976,M,7690,Northeast,non-urban,Geriatric Medicine,7
416,M,3559,West,urban,Adolescent Medicine,7
436,M,2306,South,non-urban,Nephrology,8
610,M,3329,South,urban,Cardiovascular Disease,7
573,M,1662,South,non-urban,Neurology,7
880,M,6051,South,urban,Medical,7
652,M,3765,West,non-urban,Neurology,7
648,F,4846,South,non-urban,Family,4
213,F,1389,Midwest,non-urban,Family,7
470,F,2040,Northeast,non-urban,Gerontology,7
162,M,1625,Midwest,urban,Medical,8
